Country,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dem. Rep. of the Congo,0.01,0.01,0.09,0.20,0.24,0.30,0.37,0.44,0.56,0.72,1.20,1.68,2.20,3.00,3.80,6.21,8.62,11.70,12.50
Denmark,39.17,42.96,64.25,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81,92.26,94.63,95.99,96.33,96.97,97.10,97.32,98.05
Djibouti,0.19,0.34,0.49,0.78,0.95,1.27,1.62,2.26,4.00,6.50,7.00,9.40,12.70,17.00,22.90,30.80,55.68,58.00,59.00
Dominica,8.81,13.25,18.42,30.32,38.54,39.40,40.27,41.16,42.02,47.45,48.60,49.80,51.00,57.50,65.00,67.03,69.62,,
Dominican Rep.,3.70,4.43,6.82,8.87,11.48,14.84,17.66,20.82,27.72,31.40,38.00,42.32,45.90,49.58,54.22,63.87,67.57,74.82,75.80
Ecuador,1.46,2.67,4.26,4.83,5.99,7.20,10.80,18.80,24.60,29.03,31.37,35.14,40.28,45.59,48.94,54.06,,,
Egypt,0.64,0.84,2.72,11.92,12.75,13.66,16.03,18.01,20.00,21.60,25.60,26.40,29.40,33.89,37.82,41.25,44.95,46.92,57.28
El Salvador,1.18,1.50,1.90,3.20,4.20,5.50,6.11,10.08,12.11,15.90,18.90,20.32,23.11,24.76,26.80,29.00,33.82,43.80,50.49
Equatorial Guinea,0.13,0.17,0.32,0.84,1.15,1.28,1.56,1.82,2.13,6.00,11.50,13.94,16.40,18.86,,,,,
Eritrea,0.14,0.16,0.23,,,,0.41,0.47,0.54,0.61,0.70,0.80,0.90,0.99,1.08,1.18,1.31,,
Estonia,28.58,31.53,41.52,53.20,61.45,63.51,66.19,70.58,72.50,74.10,76.50,78.39,80.00,84.24,88.41,87.24,88.10,89.36,90.23
Eswatini,0.93,1.28,1.82,3.23,3.70,3.70,4.10,6.85,8.94,11.04,18.13,20.78,24.70,25.00,25.64,,,,
Ethiopia,0.02,0.04,0.07,0.16,0.22,0.31,0.37,0.45,0.54,0.75,1.10,2.90,4.60,7.70,13.86,15.37,18.62,22.00,25.00
Falkland (Malvinas) Is.,58.62,64.60,64.15,67.32,84.01,87.10,90.06,92.96,95.84,95.84,96.38,96.92,96.90,97.60,98.31,99.02,,,
Faroe Islands,32.92,43.25,53.30,66.53,67.90,69.36,75.98,75.57,75.18,75.20,80.73,85.34,90.00,93.30,94.20,95.11,97.58,,
Fiji,1.50,1.86,6.15,7.41,8.45,9.60,10.90,13.00,17.00,20.00,28.00,33.74,35.20,37.40,42.50,46.51,49.97,,
Finland,37.25,43.11,62.43,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.71,89.88,91.51,86.53,86.42,87.70,87.47,88.89,89.61
France,14.31,26.33,30.18,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.82,81.44,81.92,83.75,78.01,79.27,80.50,82.04,83.34
French Guiana [included in France data],9.69,11.62,13.92,19.50,20.79,22.06,23.31,24.53,25.70,,,,,,,,,,
French Polynesia,6.36,6.25,8.20,17.88,21.54,25.11,28.59,33.87,44.60,49.00,49.00,52.88,56.80,60.68,64.56,68.44,72.70,,
Gabon,1.22,1.35,1.94,2.98,4.89,5.49,5.77,7.50,9.50,13.00,18.00,24.00,30.54,38.07,45.78,48.05,50.32,59.60,61.00
Gambia,0.92,1.34,1.80,3.31,3.80,5.24,6.21,6.88,7.63,9.20,10.87,12.45,14.00,15.56,19.70,25.00,32.00,40.00,51.00
Georgia,0.48,0.99,1.59,3.89,6.08,7.53,8.26,10.01,20.07,26.90,31.52,36.94,43.30,44.00,47.57,58.46,59.71,62.72,68.85
